Time - Plot 0,Amplitude - Plot 0
794441,0.0160041
794442,0.0147309
794443,0.0121846
794444,0.00963827
794445,0.0083651
794446,0.00327242
794447,0.00454559
794448,-0.000547095
794449,0.000726075
794450,-0.00436661
794451,-0.00182027
794452,-0.00436661
794453,-0.00691295
794454,-0.00563978
794455,-0.00691295
794456,-0.00691295
794457,-0.00309344
794458,-0.00182027
794459,-0.00182027
794460,-0.00309344
794461,0.00199925
794462,0.000726075
794463,0.00199925
794464,0.00327242
794465,0.00454559
794466,0.00709193
794467,0.00709193
794468,0.0109114
794469,0.0083651
794470,0.0121846
794471,0.00963827
794472,0.0121846
794473,0.0121846
794474,0.00963827
794475,0.00963827
794476,0.0083651
794477,0.00581876
794478,0.00454559
794479,0.00327242
794480,0.00454559
794481,-0.000547095
794482,0.000726075
794483,-0.000547095
794484,-0.00182027
794485,-0.00309344
794486,-0.00436661
794487,-0.00436661
794488,-0.00436661
794489,-0.00436661
794490,-0.00691295
794491,-0.00309344
794492,-0.00436661
794493,-0.00309344
794494,-0.000547095
794495,-0.000547095
794496,0.00454559
794497,0.00709193
794498,0.0083651
794499,0.0109114
794500,0.00963827
794501,0.0147309
794502,0.0134578
794503,0.0160041
794504,0.0172773
794505,0.0172773
794506,0.0185505
794507,0.0185505
794508,0.0210968
794509,0.0172773
794510,0.0172773
794511,0.0185505
794512,0.0134578
794513,0.0147309
794514,0.0121846
794515,0.0109114
794516,0.00709193
794517,0.00454559
794518,0.00199925
794519,0.00199925
794520,-0.00309344
794521,-0.00309344
794522,-0.00436661
794523,-0.00563978
794524,-0.00818612
794525,-0.0120056
794526,-0.00818612
794527,-0.00945929
794528,-0.0107325
794529,-0.00818612
794530,-0.0107325
794531,-0.00945929
794532,-0.00818612
794533,-0.00691295
794534,-0.00563978
794535,-0.00436661
794536,-0.00436661
794537,0.00327242
794538,0.00199925
794539,0.00963827
794540,0.00709193
794541,0.0109114
794542,0.0121846
794543,0.0134578
794544,0.0147309
794545,0.0172773
794546,0.0210968
794547,0.0198236
794548,0.0236431
794549,0.0210968
794550,0.0236431
794551,0.0236431
794552,0.0210968
794553,0.0210968
794554,0.0198236
794555,0.0172773
794556,0.0147309
794557,0.0134578
794558,0.0134578
794559,0.0083651
794560,0.0083651
794561,0.00581876
794562,0.00327242
794563,0.000726075
794564,-0.00182027
794565,-0.00309344
794566,-0.00436661
794567,-0.00691295
794568,-0.00691295
794569,-0.00818612
794570,-0.0107325
794571,-0.00945929
794572,-0.00818612
794573,-0.00818612
794574,-0.00691295
794575,-0.00691295
794576,-0.00436661
794577,-0.00563978
794578,-0.000547095
794579,-0.00182027
794580,-0.000547095
794581,0.000726075
