Time - Plot 0	Amplitude - Plot 0
735565	0.0210968
735566	0.0261895
735567	0.0287358
735568	0.0312822
735569	0.037648
735570	0.037648
735571	0.037648
735572	0.0401944
735573	0.0401944
735574	0.037648
735575	0.0338285
735576	0.0249163
735577	0.0249163
735578	0.0160041
735579	0.0121846
735580	-0.000547095
735581	-0.00563978
735582	-0.0132788
735583	-0.0196447
735584	-0.0285568
735585	-0.02983
735586	-0.0387422
735587	-0.0400154
735588	-0.0476544
735589	-0.0463812
735590	-0.0527471
735591	-0.0514739
735592	-0.0502007
735593	-0.0489276
735594	-0.0476544
735595	-0.0451081
735596	-0.0412885
735597	-0.0361959
735598	-0.02983
735599	-0.0260105
735600	-0.0158251
735601	-0.00818612
735602	-0.00182027
735603	0.00709193
735604	0.0134578
735605	0.0198236
735606	0.0236431
735607	0.0325553
735608	0.0351017
735609	0.0427407
735610	0.045287
735611	0.0491066
735612	0.0478334
735613	0.0491066
735614	0.0478334
735615	0.045287
735616	0.0401944
735617	0.037648
735618	0.0287358
735619	0.02237
735620	0.0134578
735621	0.00963827
735622	-0.00182027
735623	-0.00945929
735624	-0.0170983
735625	-0.0209178
735626	-0.0272837
735627	-0.0323764
735628	-0.0323764
735629	-0.0336495
735630	-0.0361959
735631	-0.037469
735632	-0.037469
735633	-0.0349227
735634	-0.0311032
735635	-0.0323764
735636	-0.0272837
735637	-0.0260105
735638	-0.0209178
735639	-0.0170983
735640	-0.014552
735641	-0.00945929
735642	-0.00691295
735643	-0.00309344
735644	0.000726075
735645	0.00454559
735646	0.00454559
735647	0.0109114
735648	0.00963827
735649	0.0160041
735650	0.0147309
735651	0.0160041
735652	0.0172773
735653	0.0185505
735654	0.0185505
735655	0.0185505
735656	0.0134578
735657	0.0160041
735658	0.0109114
735659	0.0109114
735660	0.00327242
735661	0.000726075
735662	-0.00182027
735663	-0.00563978
735664	-0.00436661
735665	-0.00945929
735666	-0.0132788
735667	-0.014552
735668	-0.0120056
735669	-0.014552
735670	-0.0132788
735671	-0.0170983
735672	-0.0120056
735673	-0.0132788
735674	-0.0107325
735675	-0.0107325
735676	-0.00945929
735677	-0.00691295
735678	-0.00436661
735679	-0.00309344
735680	0.000726075
735681	0.000726075
735682	0.00454559
735683	0.00709193
735684	0.00963827
735685	0.0121846
735686	0.0109114
735687	0.0134578
735688	0.0134578
735689	0.0160041
735690	0.0147309
735691	0.0121846
735692	0.0147309
735693	0.0134578
735694	0.0109114
735695	0.00963827
735696	0.0083651
735697	0.00581876
735698	-0.000547095
735699	0.000726075
735700	-0.00309344
735701	-0.00309344
735702	-0.00691295
735703	-0.00818612
735704	-0.00818612
735705	-0.00818612
735706	-0.00691295
735707	-0.00691295
735708	-0.00691295
735709	-0.00182027
735710	-0.00436661
735711	-0.000547095
735712	-0.00182027
735713	0.00327242
735714	0.00327242
735715	0.00454559
735716	0.00581876
735717	0.0083651
735718	0.0109114
735719	0.0134578
735720	0.0109114
735721	0.0147309
735722	0.0147309
735723	0.0134578
735724	0.0134578
735725	0.0121846
735726	0.0147309
735727	0.0109114
735728	0.0109114
735729	0.00709193
735730	0.00963827
735731	0.00199925
735732	0.00199925
735733	-0.000547095
735734	-0.00182027
735735	-0.00563978
735736	-0.00691295
735737	-0.00818612
735738	-0.00945929
735739	-0.0107325
735740	-0.0120056
735741	-0.014552
735742	-0.0120056
735743	-0.0158251
735744	-0.0158251
735745	-0.0132788
735746	-0.0120056
735747	-0.00818612
735748	-0.0107325
735749	-0.00818612
735750	-0.00818612
735751	-0.00436661
735752	-0.00436661
735753	-0.00182027
735754	0.000726075
735755	0.00199925
735756	0.00454559
735757	0.0109114
735758	0.0083651
735759	0.0134578
735760	0.0121846
735761	0.0160041
735762	0.0134578
735763	0.0172773
735764	0.0185505
735765	0.0185505
735766	0.0172773
735767	0.0172773
735768	0.0185505
735769	0.0160041
735770	0.0147309
735771	0.0109114
735772	0.0109114
735773	0.00709193
735774	0.00709193
735775	0.00199925
735776	0.000726075
735777	-0.00182027
735778	-0.00436661
735779	-0.00691295
735780	-0.00691295
735781	-0.00563978
735782	-0.00691295
735783	-0.0107325
735784	-0.00818612
735785	-0.0107325
735786	-0.0120056
735787	-0.0107325
735788	-0.00945929
735789	-0.00945929
735790	-0.00818612
735791	-0.00563978
735792	-0.00818612
735793	-0.00436661
735794	-0.00691295
735795	-0.00182027
735796	-0.00309344
735797	0.000726075
735798	0.00199925
735799	0.00199925
735800	0.00454559
735801	0.00581876
735802	0.00454559
735803	0.0083651
735804	0.00581876
735805	0.00963827
735806	0.00581876
735807	0.0083651
735808	0.0083651
735809	0.0083651
735810	0.0083651
735811	0.0083651
735812	0.0083651
735813	0.0083651
735814	0.00709193
735815	0.00454559
735816	0.00709193
735817	0.00454559
735818	0.00709193
735819	0.00454559
735820	0.00327242
735821	0.00454559
735822	0.00327242
735823	0.00199925
735824	0.00327242
735825	-0.000547095
735826	0.00199925
735827	-0.00182027
735828	0.00199925
735829	-0.00182027
735830	-0.00436661
735831	-0.00436661
735832	-0.00436661
735833	-0.00436661
735834	-0.00563978
735835	-0.00309344
735836	-0.00436661
735837	-0.00182027
735838	-0.00563978
735839	-0.00309344
735840	-0.00563978
735841	-0.00309344
735842	-0.00436661
735843	-0.00436661
735844	-0.00436661
735845	-0.00436661
735846	-0.00563978
735847	-0.00436661
735848	-0.00436661
735849	-0.000547095
735850	-0.00436661
735851	-0.00182027
735852	-0.000547095
735853	-0.000547095
735854	-0.000547095
735855	0.000726075
735856	0.000726075
735857	0.000726075
735858	0.00327242
735859	-0.000547095
735860	0.00454559
735861	0.00199925
735862	0.00199925
735863	0.00199925
735864	0.00327242
735865	0.00327242
735866	0.00454559
735867	0.00199925
735868	0.00454559
735869	0.00199925
735870	0.00454559
735871	0.000726075
735872	-0.000547095
735873	-0.000547095
735874	-0.00182027
735875	-0.00182027
735876	-0.00182027
735877	0.000726075
735878	-0.00182027
735879	-0.000547095
735880	-0.00309344
735881	-0.00182027
735882	-0.00182027
735883	-0.00436661
735884	-0.00309344
735885	-0.00309344
735886	-0.00436661
735887	-0.00182027
735888	-0.00563978
735889	-0.00309344
735890	-0.00563978
735891	-0.00309344
735892	-0.00563978
735893	-0.00182027
735894	-0.00182027
735895	-0.00182027
